text,sector,severity,municipal_corp,date,month,year
Poor road repair work on Hospital Lane in KDMC jurisdiction,road,1,KDMC,2024-07-17,7,2024
Building material on road,building,1,PMC,2024-02-08,2,2024
Building material on road in RMC jurisdiction,building,1,RMC,2024-06-05,6,2024
Billboard lights causing glare in DMC jurisdiction,electricity,1,DMC,2023-01-18,1,2023
Poor road repair work on Market Road,road,1,WMC,2023-09-06,9,2023
Property tax assessment error in TMC jurisdiction,building,0,TMC,2023-06-05,6,2023
Voltage fluctuations frequent in DMC jurisdiction,electricity,1,DMC,2023-06-27,6,2023
Electrical maintenance overdue in GMC jurisdiction,electricity,1,GMC,2023-09-10,9,2023
Traffic signal not working at Ward 7 in GMC jurisdiction,road,2,GMC,2024-07-05,7,2024
Street light sensor not working,electricity,0,PMC,2023-09-03,9,2023
Garbage overflow at Ward 4 in SMC jurisdiction,sanitation,1,SMC,2024-04-28,4,2024
Recycling not being done in UMC jurisdiction,sanitation,0,UMC,2024-05-02,5,2024
Major road collapse on Service Road,road,2,DMC,2023-01-10,1,2023
Exposed wires at West Zone in HMC jurisdiction,electricity,2,HMC,2023-04-26,4,2023
Garbage overflow at South Zone,sanitation,1,AMC,2024-08-04,8,2024
Road surface cracks on MG Road in JMC jurisdiction,road,0,JMC,2023-08-30,8,2023
Public tap not working at Commercial Complex in CMC jurisdiction,water,0,CMC,2024-10-31,10,2024
Public toilet in park dirty in PMC jurisdiction,parks,2,PMC,2023-08-15,8,2023
Drainage cover broken on road in BMC jurisdiction,road,1,BMC,2023-06-03,6,2023
High mast light not working in SMC jurisdiction,electricity,1,SMC,2023-06-08,6,2023
Encroachment on public land in SMC jurisdiction,building,2,SMC,2024-08-31,8,2024
Power fluctuations damaging appliances in BMC jurisdiction,electricity,2,BMC,2023-10-24,10,2023
Park security issue,parks,1,CMC,2023-11-25,11,2023
Public toilet in park dirty in HMC jurisdiction,parks,2,HMC,2023-10-09,10,2023
Demolition debris not cleared in HMC jurisdiction,building,1,HMC,2024-02-23,2,2024
Overflowing water tank at East Zone in DMC jurisdiction,water,2,DMC,2024-12-25,12,2024
Park lights not functioning in MMC jurisdiction,electricity,0,MMC,2023-05-18,5,2023
Electrical maintenance overdue in CMC jurisdiction,electricity,1,CMC,2023-12-07,12,2023
Sewage smell in Middle Class Colony in VMC jurisdiction,sanitation,1,VMC,2023-10-17,10,2023
Power cut during office hours in GMC jurisdiction,electricity,1,GMC,2024-05-24,5,2024
Road hump needs repainting on Service Road in GMC jurisdiction,road,0,GMC,2023-12-04,12,2023
Stray animals in garbage in AMC jurisdiction,sanitation,1,AMC,2024-07-13,7,2024
Dead animal not removed,sanitation,2,MMC,2023-08-25,8,2023
Play equipment damaged in TMC jurisdiction,parks,1,TMC,2024-02-26,2,2024
Street light flickering at Affluent Society,electricity,0,NMC,2024-11-21,11,2024
Building permit delay in PMC jurisdiction,building,0,PMC,2024-09-26,9,2024
Speed breaker damaged on Main Street in NMC jurisdiction,road,1,NMC,2024-01-24,1,2024
Illegal electricity connection,electricity,2,PMC,2023-08-24,8,2023
Drain blockage at South Zone in BMC jurisdiction,water,1,BMC,2023-08-01,8,2023
Construction waste on roadside in VMC jurisdiction,sanitation,1,VMC,2024-07-31,7,2024
Drainage system failure during rain,water,2,WMC,2023-12-01,12,2023
Garbage truck leaking,sanitation,1,KDMC,2024-12-31,12,2024
Borewell not functioning in KMC jurisdiction,water,1,KMC,2023-04-20,4,2023
Construction noise after hours in GMC jurisdiction,building,1,GMC,2023-07-11,7,2023
Illegal electricity connection in SMC jurisdiction,electricity,2,SMC,2024-12-02,12,2024
Road surface cracks on Park Avenue in DMC jurisdiction,road,0,DMC,2023-10-10,10,2023
Minor pothole on River View in NMC jurisdiction,road,0,NMC,2024-09-27,9,2024
Irrigation system broken,parks,1,MMC,2023-05-20,5,2023
Leaking pipeline near South Zone in DMC jurisdiction,water,1,DMC,2024-02-07,2,2024
Building permit delay in UMC jurisdiction,building,0,UMC,2024-07-17,7,2024
Sanitation workers strike,sanitation,2,CMC,2024-12-10,12,2024
Dead animal not removed in DMC jurisdiction,sanitation,2,DMC,2023-09-05,9,2023
Poor road repair work on Cross Street,road,1,CMC,2024-03-16,3,2024
Bridge approach damaged near North Zone in KMC jurisdiction,road,2,KMC,2023-07-31,7,2023
Major road collapse on Nehru Marg in PMC jurisdiction,road,2,PMC,2024-07-19,7,2024
Emergency lights not working in SMC jurisdiction,electricity,2,SMC,2023-07-08,7,2023
Sewage smell in Industrial Area in WMC jurisdiction,sanitation,1,WMC,2024-02-03,2,2024
Minor pothole on Temple Street in KDMC jurisdiction,road,0,KDMC,2023-11-30,11,2023
Sewage backup in North Zone,water,2,WMC,2024-08-27,8,2024
Public toilet in park dirty in AMC jurisdiction,parks,2,AMC,2023-05-24,5,2023
Road markings faded on Main Street in SMC jurisdiction,road,0,SMC,2024-07-04,7,2024
Drain cleaning overdue in BMC jurisdiction,sanitation,1,BMC,2024-03-11,3,2024
Waterlogging on Gandhi Road during rain,road,2,PMC,2024-08-25,8,2024
Garbage truck leaking in UMC jurisdiction,sanitation,1,UMC,2023-06-22,6,2023
Construction safety violation in KMC jurisdiction,building,2,KMC,2024-12-29,12,2024
Street light flickering at Ward 4 in BMC jurisdiction,electricity,0,BMC,2024-04-15,4,2024
Drainage cover broken on road in KMC jurisdiction,road,1,KMC,2024-03-31,3,2024
Dead animal not removed in MMC jurisdiction,sanitation,2,MMC,2023-08-23,8,2023
Dumpster missing lid,sanitation,0,JMC,2023-05-21,5,2023
Poor road repair work on Service Road in CMC jurisdiction,road,1,CMC,2023-09-03,9,2023
Property tax assessment error in CMC jurisdiction,building,0,CMC,2024-11-30,11,2024
Complete blackout in Commercial Complex in KDMC jurisdiction,electricity,2,KDMC,2023-09-26,9,2023
Pothole developing on Nehru Marg in SMC jurisdiction,road,1,SMC,2024-03-20,3,2024
Street light flickering at Ward 1,electricity,0,AMC,2024-12-19,12,2024
Play equipment damaged in PMC jurisdiction,parks,1,PMC,2024-03-15,3,2024
Speed breaker damaged on School Road in CMC jurisdiction,road,1,CMC,2024-01-04,1,2024
Garden not watered,parks,0,AMC,2024-08-10,8,2024
Pothole developing on MG Road in TMC jurisdiction,road,1,TMC,2024-04-28,4,2024
Park closing early,parks,0,BMC,2024-11-02,11,2024
Public bins missing in KDMC jurisdiction,sanitation,0,KDMC,2023-07-25,7,2023
Sewage smell in Ward 5 in UMC jurisdiction,sanitation,1,UMC,2024-02-24,2,2024
Power cut during office hours in TMC jurisdiction,electricity,1,TMC,2024-11-04,11,2024
Public toilet unclean at Residential Colony in HMC jurisdiction,sanitation,1,HMC,2024-08-04,8,2024
Recycling not being done in GMC jurisdiction,sanitation,0,GMC,2023-07-27,7,2023
Recycling not being done in PMC jurisdiction,sanitation,0,PMC,2023-11-18,11,2023
Exposed wires at North Zone in CMC jurisdiction,electricity,2,CMC,2023-05-03,5,2023
Littering in public park in WMC jurisdiction,sanitation,0,WMC,2023-12-02,12,2023
Waterlogging on Church Street during rain in LMC jurisdiction,road,2,LMC,2023-05-24,5,2023
Property tax assessment error,building,0,CMC,2023-03-18,3,2023
Major road collapse on Park Avenue,road,2,LMC,2023-12-06,12,2023
Illegal parking blocking School Road in SMC jurisdiction,road,1,SMC,2024-07-17,7,2024
Drainage cover broken on road in MMC jurisdiction,road,1,MMC,2024-06-22,6,2024
Dumpster missing lid in CMC jurisdiction,sanitation,0,CMC,2023-07-04,7,2023
Demolition debris not cleared,building,1,VMC,2023-06-27,6,2023
Illegal electricity connection in RMC jurisdiction,electricity,2,RMC,2024-12-18,12,2024
Park lights not functioning in CMC jurisdiction,electricity,0,CMC,2023-06-29,6,2023
Road markings faded on Main Street in AMC jurisdiction,road,0,AMC,2024-08-23,8,2024
Road markings faded on Park Avenue in HMC jurisdiction,road,0,HMC,2024-11-09,11,2024
Bridge approach damaged near East Zone in WMC jurisdiction,road,2,WMC,2023-06-29,6,2023
Littering in public park,sanitation,0,AMC,2024-08-09,8,2024
Construction safety violation in BMC jurisdiction,building,2,BMC,2024-09-18,9,2024
Electrical pole leaning dangerously,electricity,2,KMC,2023-09-01,9,2023
Stagnant water causing mosquito breeding in KDMC jurisdiction,water,1,KDMC,2023-09-29,9,2023
Public toilet unclean at Industrial Area in SMC jurisdiction,sanitation,1,SMC,2023-02-04,2,2023
Composting facility issue in AMC jurisdiction,sanitation,1,AMC,2023-04-14,4,2023
Unauthorized commercial use in UMC jurisdiction,building,1,UMC,2023-10-16,10,2023
Roadside vegetation obstructing view in UMC jurisdiction,road,1,UMC,2024-01-05,1,2024
Traffic signal not working at Ward 7 in WMC jurisdiction,road,2,WMC,2023-07-31,7,2023
Public bins missing in UMC jurisdiction,sanitation,0,UMC,2024-01-26,1,2024
Public toilet in park dirty in WMC jurisdiction,parks,2,WMC,2024-04-04,4,2024
No water supply for 24+ hours in KMC jurisdiction,water,2,KMC,2023-03-10,3,2023
Partial power failure in Market Area in MMC jurisdiction,electricity,1,MMC,2024-08-03,8,2024
Park closing early in DMC jurisdiction,parks,0,DMC,2023-02-08,2,2023
Construction debris on MG Road in GMC jurisdiction,road,1,GMC,2023-11-07,11,2023
Sidewalk damaged on Hospital Lane,road,1,VMC,2023-01-30,1,2023
Sidewalk damaged on School Road in LMC jurisdiction,road,1,LMC,2023-12-25,12,2023
Dumpster missing lid in KDMC jurisdiction,sanitation,0,KDMC,2023-02-20,2,2023
Recycling not being done,sanitation,0,HMC,2024-09-06,9,2024
Leaking pipeline near South Zone,water,1,CMC,2023-08-16,8,2023
Public event damage not repaired in SMC jurisdiction,parks,1,SMC,2023-11-11,11,2023
Walking track damaged in CMC jurisdiction,parks,1,CMC,2023-05-01,5,2023
Park lights not working in WMC jurisdiction,parks,1,WMC,2023-07-19,7,2023
Water feature malfunction in NMC jurisdiction,parks,1,NMC,2023-06-04,6,2023
Major road collapse on School Road,road,2,CMC,2023-04-01,4,2023
Tree branch fallen on road at Industrial Area,road,2,NMC,2024-09-02,9,2024
Stagnant water causing mosquito breeding,water,1,KMC,2024-05-16,5,2024
Large dangerous pothole on Nehru Marg causing accidents in VMC jurisdiction,road,2,VMC,2023-05-15,5,2023
Construction debris on Main Street in PMC jurisdiction,road,1,PMC,2024-10-17,10,2024
Street light flickering at Ward 1 in BMC jurisdiction,electricity,0,BMC,2023-04-29,4,2023
Drain blockage at Ward 7 in DMC jurisdiction,water,1,DMC,2024-10-07,10,2024
Water meter not working in HMC jurisdiction,water,0,HMC,2024-12-18,12,2024
Power fluctuations damaging appliances in HMC jurisdiction,electricity,2,HMC,2024-02-24,2,2024
Roadside vegetation obstructing view in CMC jurisdiction,road,1,CMC,2023-01-03,1,2023
Road hump needs repainting on Market Road,road,0,CMC,2024-06-07,6,2024
Sanitation workers strike,sanitation,2,SMC,2023-10-31,10,2023
Tree branch fallen on road at Central Zone,road,2,BMC,2023-11-17,11,2023
Large dangerous pothole on Market Road causing accidents in BMC jurisdiction,road,2,BMC,2023-06-24,6,2023
Public toilet in park dirty in GMC jurisdiction,parks,2,GMC,2023-12-17,12,2023
Public bins missing,sanitation,0,CMC,2024-11-25,11,2024
Complete blackout in Ward 5 in WMC jurisdiction,electricity,2,WMC,2024-05-14,5,2024
Large dangerous pothole on MG Road causing accidents in WMC jurisdiction,road,2,WMC,2023-06-10,6,2023
Water quality issues in Ward 4,water,2,LMC,2024-10-31,10,2024
Tap leaking at Ward 3,water,0,UMC,2024-09-25,9,2024
Low water pressure in Ward 6 in PMC jurisdiction,water,1,PMC,2024-02-24,2,2024
Street light timing incorrect in VMC jurisdiction,electricity,0,VMC,2023-07-15,7,2023
Pothole developing on Temple Street,road,1,HMC,2024-08-22,8,2024
Power theft suspected in Commercial Complex in AMC jurisdiction,electricity,2,AMC,2023-05-12,5,2023
Dumpster missing lid in JMC jurisdiction,sanitation,0,JMC,2023-05-17,5,2023
Park closing early in AMC jurisdiction,parks,0,AMC,2024-10-14,10,2024
Dumpster missing lid in BMC jurisdiction,sanitation,0,BMC,2024-07-08,7,2024
Recycling not being done,sanitation,0,UMC,2024-07-28,7,2024
Garbage overflow at Ward 1,sanitation,1,UMC,2023-07-27,7,2023
Medical waste in regular garbage,sanitation,2,SMC,2024-07-13,7,2024
Illegal parking blocking Garden Street in CMC jurisdiction,road,1,CMC,2024-11-30,11,2024
Pothole developing on Cross Street in GMC jurisdiction,road,1,GMC,2023-06-08,6,2023
Irrigation system broken in WMC jurisdiction,parks,1,WMC,2024-08-09,8,2024
Drainage cover broken on road,road,1,HMC,2024-06-17,6,2024
Recycling not being done,sanitation,0,NMC,2024-09-25,9,2024
Unauthorized building modifications in TMC jurisdiction,building,2,TMC,2024-04-01,4,2024
Garbage not collected for 2+ days in SMC jurisdiction,sanitation,2,SMC,2023-11-25,11,2023
Water treatment plant issue in LMC jurisdiction,water,2,LMC,2024-10-29,10,2024
Public toilet unclean at Ward 1 in KDMC jurisdiction,sanitation,1,KDMC,2023-12-06,12,2023
Minor pothole on College Road,road,0,GMC,2023-09-22,9,2023
Street light not working at Residential Colony in JMC jurisdiction,electricity,1,JMC,2024-07-01,7,2024
Littering in public park,sanitation,0,CMC,2023-03-16,3,2023
Street light sensor not working in NMC jurisdiction,electricity,0,NMC,2024-03-24,3,2024
Dumpster missing lid in KMC jurisdiction,sanitation,0,KMC,2024-10-25,10,2024
Water bill discrepancy for Ward 7,water,1,KDMC,2023-12-19,12,2023
Minor pothole on Temple Street in CMC jurisdiction,road,0,CMC,2024-07-16,7,2024
Public bins missing,sanitation,0,CMC,2024-01-01,1,2024
Sidewalk damaged on Temple Street in GMC jurisdiction,road,1,GMC,2024-10-03,10,2024
Minor pothole on College Road in HMC jurisdiction,road,0,HMC,2024-08-27,8,2024
Exposed wires at Affluent Society in KMC jurisdiction,electricity,2,KMC,2024-02-11,2,2024
Road surface cracks on Hospital Lane in WMC jurisdiction,road,0,WMC,2023-06-13,6,2023
Construction quality issues,building,1,KMC,2023-02-11,2,2023
Street light timing incorrect in RMC jurisdiction,electricity,0,RMC,2023-07-31,7,2023
Garbage overflow at Ward 2,sanitation,1,LMC,2023-11-28,11,2023
Building plans not approved in GMC jurisdiction,building,1,GMC,2024-08-06,8,2024
Garbage truck leaking in KDMC jurisdiction,sanitation,1,KDMC,2023-08-17,8,2023
Road markings faded on Gandhi Road in KDMC jurisdiction,road,0,KDMC,2023-06-11,6,2023
Park lights not functioning in AMC jurisdiction,electricity,0,AMC,2023-02-14,2,2023
Street light flickering at Commercial Complex in HMC jurisdiction,electricity,0,HMC,2023-06-20,6,2023
Large dangerous pothole on Service Road causing accidents,road,2,WMC,2023-08-10,8,2023
Encroachment on public land,building,2,AMC,2024-09-07,9,2024
Power theft suspected in Affluent Society in WMC jurisdiction,electricity,2,WMC,2024-12-03,12,2024
Voltage fluctuations frequent in SMC jurisdiction,electricity,1,SMC,2023-04-22,4,2023
Emergency lights not working in MMC jurisdiction,electricity,2,MMC,2023-04-09,4,2023
Tap leaking at North Zone in SMC jurisdiction,water,0,SMC,2024-07-10,7,2024
Speed breaker damaged on Hospital Lane in TMC jurisdiction,road,1,TMC,2024-11-01,11,2024
Public toilet unclean at Market Area in PMC jurisdiction,sanitation,1,PMC,2023-09-17,9,2023
Sewage backup in Central Zone in DMC jurisdiction,water,2,DMC,2024-05-10,5,2024
Public tap not working at Ward 5,water,0,VMC,2024-11-06,11,2024
Composting facility issue in WMC jurisdiction,sanitation,1,WMC,2023-09-27,9,2023
Building cracks noticed,building,1,CMC,2024-06-06,6,2024
Road markings faded on Nehru Marg in BMC jurisdiction,road,0,BMC,2023-06-11,6,2023
Borewell not functioning in VMC jurisdiction,water,1,VMC,2024-06-14,6,2024
Tree branch fallen on road at Ward 3 in SMC jurisdiction,road,2,SMC,2023-12-17,12,2023
Building completion certificate issue,building,1,RMC,2023-10-03,10,2023
Sanitation workers strike,sanitation,2,CMC,2023-08-29,8,2023
Flower beds neglected in CMC jurisdiction,parks,0,CMC,2024-09-25,9,2024
Electrical pole leaning dangerously in HMC jurisdiction,electricity,2,HMC,2024-08-13,8,2024
Park lights not functioning in HMC jurisdiction,electricity,0,HMC,2023-01-09,1,2023
Construction debris on Office Lane,road,1,JMC,2023-07-11,7,2023
Construction debris on Hill Road in WMC jurisdiction,road,1,WMC,2024-03-10,3,2024
Garbage truck leaking in VMC jurisdiction,sanitation,1,VMC,2024-08-08,8,2024
Electrical meter issue,electricity,0,PMC,2024-07-22,7,2024
Water meter not working,water,0,KMC,2023-06-30,6,2023
Construction debris on Hill Road in GMC jurisdiction,road,1,GMC,2023-09-21,9,2023
Tap leaking at South Zone in KMC jurisdiction,water,0,KMC,2024-09-19,9,2024
Transformer making noise at Ward 1 in AMC jurisdiction,electricity,1,AMC,2023-08-29,8,2023
Building completion certificate issue in KDMC jurisdiction,building,1,KDMC,2023-04-16,4,2023
Road surface cracks on Hill Road in HMC jurisdiction,road,0,HMC,2024-07-01,7,2024
Electrical pole leaning dangerously in UMC jurisdiction,electricity,2,UMC,2024-07-28,7,2024
Emergency lights not working in WMC jurisdiction,electricity,2,WMC,2023-10-06,10,2023
Industrial waste mixing,sanitation,2,MMC,2023-07-06,7,2023
Illegal parking blocking Office Lane in LMC jurisdiction,road,1,LMC,2023-11-25,11,2023
Complete blackout in Ward 5 in JMC jurisdiction,electricity,2,JMC,2024-02-06,2,2024
Public tap not working at Slum Area in BMC jurisdiction,water,0,BMC,2023-06-08,6,2023
